	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
ygeY	33	29	0	3
hyuA	44	44	2	3
yqeA	68	109	30	28
yqeB	83	140	156	193
yqeC	15	32	98	84
ssnA	16	18	2	5
ygfM	21	37	1	5
xdhD	101	154	26	23
ygfO	100	110	54	75
guaD	188	227	12	13
ygfT	44	61	10	18
ygfU	8	13	2	3
lysS	6442	9330	86	86
prfB	4958	6533	34	35
recJ	1245	1913	34	22
dsbC	1316	1769	37	42
xerD	1001	1359	75	65
ygfZ	1495	2160	155	156
yqfA	380	440	97	136
bglA	2453	3565	106	103
ygfF	102	135	4	8
gcvP	2840	4698	26	23
gcvT	1878	2782	26	25
visC	982	1366	17	24
serA	35610	51539	126	121
rpiA	3076	4474	94	89
argP	665	945	46	44
yliK	47	80	4	7
argK	21	25	3	2
ygfG	38	37	1	1
ygfH	56	76	5	7
ygfI	73	115	8	11
yggE	1221	1828	144	151
argO	254	308	8	6
mscS	2498	4019	23	22
fbaA	19427	28689	494	543
pgk	17603	25594	861	951
epd	3669	5143	200	238
yggF	42	41	11	16
cmtA	13	18	0	1
tktA	5810	7720	108	111
yggG	801	1069	505	520
speB	1066	1598	75	70
speA	8480	12436	951	921
metK	8253	11750	49	59
galP	593	802	6	4
endA	36	47	10	10
yggJ	443	634	21	12
gshB	1245	1656	47	60
yggS	440	659	12	19
yggW	515	695	1	5
yggM	65	90	3	4
ansB	81	127	13	13
yggN	920	1278	40	36
yggH	2462	3102	58	57
mutY	848	1219	10	14
mltC	777	900	10	10
nupG	221	310	158	184
yqgA	51	89	8	12
yghK	65	102	24	36
glcF	157	231	40	59
glcD	54	62	68	87
glcC	203	291	457	454
ECIAI1_3132	120	139	4	10
yghR	5	14	0	0
yghS	10	18	1	1
yghT	7	10	1	0
pitB	36	58	0	5
gss	2006	2912	27	34
yghU	773	1091	60	55
hybC	391	596	36	31
hybB	67	117	3	2
hybA	53	93	8	7
hybO	71	117	11	23
yghZ	251	360	598	610
yghA	99	124	58	85
exbB	4012	5685	60	56
metC	3015	4178	37	29
yghB	300	439	123	110
yqhC	249	287	42	43
yqhD	536	843	34	44
dkgA	279	360	323	304
yqhG	55	80	17	22
ygiQ	861	1106	16	19
sufI	595	838	34	38
plsC	540	692	30	31
parC	2360	3476	56	45
qseB	57	88	2	3
parE	1727	2748	50	48
cpdA	986	1425	336	366
nudF	910	1095	28	32
tolC	4052	5235	151	162
ygiC	2041	2735	132	125
ygiE	513	752	234	211
ribB	2055	2612	378	376
yqiJ	26	31	11	6
yqiK	33	60	6	3
rfaE	2119	3156	52	78
htrG	362	481	13	11
cca	481	801	32	40
bacA	848	1234	39	41
plsY	268	363	26	26
ygiP	76	87	0	7
ttdA	12	12	0	2
ttdB	9	5	0	0
ygjE	63	98	3	1
gcp	638	855	23	25
dnaG	2434	3273	235	241
rpoD	6541	9813	1965	2001
yqjH	244	382	4	7
yqjI	188	322	26	20
aer	2287	3009	67	67
ygjG	517	805	1082	1167
ebgR	97	119	3	3
ygjI	14	8	2	2
ygjJ	6	9	0	0
ygjK	46	44	6	6
ygjO	242	348	7	7
ygjQ	22	22	1	1
ygjR	317	433	632	746
alx	65	104	1	2
sstT	914	1538	935	1022
uxaA	239	345	52	40
uxaC	247	322	52	38
exuT	55	74	53	50
exuR	936	1219	206	223
yqjA	623	839	148	159
yqjG	304	398	257	265
yhaJ	851	1177	9	16
yhaK	38	60	8	13
yhaM	95	140	6	5
yhaO	50	79	6	8
tdcG	56	84	13	7
tdcE	318	472	30	39
tdcD	33	35	1	2
tdcC	90	141	6	12
tdcB	13	12	0	3
tdcA	6	8	7	6
garK	150	166	139	165
garR	87	143	171	174
garL	21	16	57	79
garP	7	6	57	79
garD	74	109	96	97
agaR	1075	1437	34	37
kbaZ	28	40	10	7
agaS	21	22	3	3
kbaY	14	17	1	1
agaC	13	10	0	0
agaD	7	19	3	2
agaI	20	25	0	0
yraI	10	16	0	0
yraL	537	789	14	20
yraQ	759	1153	48	48
yraR	83	148	206	197
