	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
fsr	112	88	157	114
ushA	993	695	1811	1575
ybaP	188	122	82	67
copA	624	448	478	428
ybaS	166	161	22	30
ybaT	132	108	47	41
ybbK	256	225	631	517
ybbL	191	138	201	173
ybbM	197	141	223	208
ybbN	999	597	711	710
ybbO	214	117	123	116
tesA	212	114	246	221
ybbA	126	80	172	135
ybbP	282	179	372	298
ybbB	91	53	64	58
ybbS	14	9	13	14
allR	1110	752	886	686
gcl	36	16	29	34
hyi	12	6	14	12
glxR	12	18	16	17
ybbW	6	6	20	19
allB	46	38	108	116
ybbY	22	9	13	12
glxK	57	57	91	87
ylbA	118	86	220	203
allC	49	38	169	118
allD	16	17	71	62
ylbE	11	13	48	27
ylbF	10	6	13	16
ybcF	39	18	29	17
purK	1930	1281	740	601
lpxH	340	296	249	214
cysS	1580	1169	939	914
folD	781	534	522	486
sfmC	10	8	17	12
sfmH	5	12	10	8
fimZ	1	1	6	7
envY	47	32	36	40
ybcH	29	15	26	31
nfrB	61	38	66	60
cusR	94	75	81	77
cusC	7	6	127	130
cusB	11	4	13	15
cusA	42	28	60	61
pheP	854	699	382	335
ybdG	643	537	493	462
nfnB	968	658	712	719
ybdK	18	8	20	16
fepA	8388	2866	1907	1717
fepC	266	102	147	114
fepG	158	55	111	76
fepD	100	51	75	61
ybdA	381	147	139	111
fepB	365	141	176	161
entC	1002	296	256	188
entE	1613	476	402	350
entB	1693	505	531	512
