"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1825","yeaP",495.332551242582,0.187300011124497,0.141533782381564,1.32335904525996,0.185716004588356,0.240260540730471,490.980592109329,434.491378883411,515.733957686335,540.124276291253
"1826","yiiM",198.372793786254,0.263451106252517,0.199400694449083,1.32121458744363,0.186429823718805,0.241051924315498,182.536342833284,177.144157682803,200.337600361096,233.473074267832
"1827","ybdO",16.1540217718608,0.811350054098541,0.615970246739222,1.31719033247727,0.187774833619202,0.242658118322351,14.4583241848146,8.36901532359699,24.3653838277008,17.4233637513307
"1828","envR",11.2378420583243,-0.986241268876598,0.749611841922259,-1.31566927537796,0.188285070880552,0.243184383123076,19.2777655797528,11.1586870981293,4.06089730461681,10.4540182507984
"1829","ykgE",913.006276405182,0.165944054174535,0.126287338562933,1.31401972725745,0.188839565643269,0.243767203107577,877.138333878752,841.086040021498,862.263861013635,1071.53687070684
"1830","ycbX",298.51006853217,-0.235536602703244,0.179463335714361,-1.31244970882594,0.189368444101326,0.24431633689794,334.348746773838,313.140656691254,311.335460020622,235.215410642965
"1831","eutB",49.5791254805756,-0.494619441341124,0.378337102347034,-1.30735113810601,0.19109348388371,0.246407272227984,51.8089949955856,64.8598687578767,43.3162379159126,38.3314002529276
"1832","hscA",1036.6412457821,-0.149724741341882,0.114878793182783,-1.30332794411981,0.192462824845602,0.24803751608104,1022.92643607563,1158.41120437455,977.322617977778,987.904724700453
"1833","plsY",103.370679729553,-0.352019214300987,0.270361927602666,-1.30202953286502,0.19290629009034,0.248473404748114,123.498185745291,108.099781263128,82.5715785272084,99.3131733825852
"1834","ycjM",40.9208679390398,0.536666965445854,0.412437674238011,1.3012074283402,0.193187463298479,0.248699891410965,40.3628216826074,25.8044639144241,48.7307676554017,48.7854185037261
"1835","trkH",298.676920348631,-0.224112011826001,0.172441377920516,-1.29964173638941,0.193723788028424,0.249254421545018,327.722014855798,317.325164353053,300.506400541644,249.15410164403
"1836","yncD",108.66638297188,-0.342456369382067,0.264039922491877,-1.29698708494585,0.194635630581712,0.250291243901645,131.329778012066,111.586870981293,90.693373136442,101.055509757718
"1837","ggt",28.9625369024684,-0.636844683196208,0.492290767222399,-1.29363523673095,0.19579144516535,0.251640501924546,42.1701122057092,28.5941356889564,18.9508540882118,26.1350456269961
