	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
rpoD	5243	4819	5108	4094
yqjH	135	101	51	69
yqjI	112	120	46	40
aer	174	123	47	30
ygjG	107	90	225	160
ebgR	101	76	43	45
ygjI	15	19	19	16
ygjJ	7	3	5	4
ygjK	40	27	22	18
ygjO	125	102	20	20
ygjQ	30	26	9	3
ygjR	756	658	873	738
alx	27	34	17	20
sstT	2654	2279	5080	4151
uxaA	345	333	423	339
uxaC	488	406	372	318
exuT	402	362	255	194
exuR	558	482	683	573
yqjA	373	303	840	766
yqjG	83	79	100	90
yhaJ	501	477	116	85
yhaK	58	45	101	87
yhaM	81	81	72	38
yhaO	54	47	64	57
tdcG	103	73	64	40
tdcE	490	431	271	190
tdcD	141	103	64	46
tdcC	446	342	278	201
tdcB	225	155	150	98
tdcA	185	128	336	257
garK	131	99	1531	1106
garR	176	146	2095	1466
garL	42	34	1034	875
garP	82	56	1336	1151
garD	482	404	983	711
agaR	528	443	287	231
kbaZ	88	98	48	46
agaS	22	19	18	19
kbaY	26	18	11	17
agaC	18	13	15	10
agaD	30	22	22	23
agaI	15	19	3	6
yraI	15	13	38	45
yraL	346	315	120	79
yraQ	367	301	48	36
yraR	82	75	77	52
yhbU	43	30	15	3
yhbV	30	26	24	20
yhbW	62	57	36	36
mtr	310	245	270	261
deaD	776	734	436	341
nlpI	5728	4807	1924	1911
pnp	12633	11762	1242	1033
truB	995	1009	205	144
infB	12568	12430	956	763
nusA	5342	5182	629	445
argG	4183	4073	233	185
yhbX	74	64	39	33
glmM	1802	1763	692	504
folP	395	406	102	91
ftsH	10765	9667	14581	12435
rrmJ	2357	2069	4422	3998
dacB	156	122	68	51
obgE	1176	1060	900	732
yhbE	457	363	170	131
ispB	978	903	405	252
murA	2315	2330	192	149
yrbC	1229	1153	478	377
yrbE	640	560	175	147
yrbF	950	900	331	258
yrbG	338	282	164	118
kdsD	1037	1013	213	171
lptB	1199	1094	272	183
rpoN	4766	4073	1954	1451
yhbJ	981	818	244	167
yrbL	2651	2484	3764	3178
mtgA	662	608	475	347
elbB	1418	1267	734	566
arcB	1550	1403	1839	1426
yhcC	20	23	4	6
gltB	2349	2495	182	141
gltD	1313	1308	149	85
nanE	132	127	96	64
nanT	293	208	195	170
nanA	211	179	50	55
nanR	573	403	238	190
dcuD	68	42	34	35
sspA	2457	2199	1727	1386
degQ	1057	923	437	328
degS	351	264	142	110
mdh	28976	26620	9981	7526
aaeB	53	51	39	25
aaeA	62	58	41	46
aaeR	93	68	91	67
tldD	944	863	514	363
rng	981	894	201	166
mreC	411	339	26	13
mreB	2280	2270	213	172
csrD	1086	973	346	288
yhdH	1092	1049	366	327
accC	7193	7198	903	714
panF	172	168	21	24
prmA	408	382	49	36
dusB	4212	3724	359	317
yhdJ	81	86	22	13
envR	32	16	3	6
acrE	22	11	8	5
acrF	229	189	196	169
aapQ	64	49	120	86
aapP	106	86	117	83
