	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS07855	5081	4581	4848	4477
VV1_RS07860	347	307	344	306
VV1_RS07865	290	118	286	118
VV1_RS07870	814	443	749	427
VV1_RS07875	1003	419	985	420
VV1_RS07880	621	266	609	256
VV1_RS07885	186	107	184	105
VV1_RS07895	427	353	425	348
VV1_RS07900	364	117	362	116
VV1_RS07905	876	97	879	98
VV1_RS07910	452	103	452	103
VV1_RS07915	3658	1593	3658	1591
VV1_RS07920	1396	617	1408	619
VV1_RS07930	1050	767	1036	760
VV1_RS07935	416	215	591	254
VV1_RS07945	6197	1138	6171	1130
VV1_RS07950	17856	3310	17300	3222
VV1_RS07955	553	280	540	278
VV1_RS07960	570	355	552	350
VV1_RS07970	1539	766	1603	772
HFLB	36832	11657	36793	11644
FOLP	537	253	525	246
VV1_RS08070	96	45	131	46
VV1_RS08090	7040	3160	7021	3145
VV1_RS08095	2582	1968	2507	1874
VV1_RS08110	314	82	311	79
VV1_RS08115	115	32	114	29
VV1_RS08120	1601	1488	1599	1487
VV1_RS08145	46504	14383	46177	14300
VV1_RS08150	2625	975	2618	971
VV1_RS08160	2119	1156	3075	1623
VV1_RS08165	12092	3351	10122	2806
VV1_RS08170	13402	2692	13394	2688
VV1_RS08180	6065	1660	5834	1590
VV1_RS08190	574	145	572	143
VV1_RS08200	11850	6061	11781	6013
VV1_RS08205	1232	495	1247	499
VV1_RS08210	6254	2711	5971	2567
VV1_RS08215	1352	658	1350	658
VV1_RS08220	2017	484	2009	481
VV1_RS08240	61204	36033	60062	35345
VV1_RS08245	13561	14452	13354	14166
VV1_RS08270	3778	726	3379	670
VV1_RS08275	8328	2029	8318	2031
VV1_RS08285	6175	1129	7397	1509
VV1_RS08300	15268	3936	15182	3905
VV1_RS08305	9464	1832	9321	1810
VV1_RS08310	5445	1591	5334	1548
VV1_RS08315	4737	990	4678	843
VV1_RS08320	33005	9467	23694	6109
VV1_RS08325	141	50	128	44
VV1_RS08330	965	346	953	345
VV1_RS08335	2087	590	2072	589
VV1_RS08345	187	41	182	41
VV1_RS08350	794	264	713	247
VV1_RS08375	623	439	536	374
VV1_RS08380	613	481	592	439
VV1_RS08385	261	165	245	140
VV1_RS08395	34130	15145	33814	14950
VV1_RS08400	3307	957	3357	980
VV1_RS08425	746	454	744	451
VV1_RS08430	3384	2787	3378	2783
VV1_RS08435	876	545	864	542
VV1_RS08445	1964	1376	1944	1342
VV1_RS08455	1254	1104	1222	1087
VV1_RS08460	561	224	614	241
VV1_RS08470	76	54	74	54
VV1_RS08475	156	67	156	67
VV1_RS08480	947	341	947	339
VV1_RS08505	4216	698	4433	728
VV1_RS08520	547	80	544	79
VV1_RS08575	107023	25421	95725	22607
VV1_RS08580	4164	1622	5603	2353
VV1_RS08595	1612	708	1906	793
VV1_RS08605	3890	889	3834	871
VV1_RS08610	1761	282	1788	283
VV1_RS08615	839	120	837	120
VV1_RS08620	854	365	854	366
VV1_RS08630	3083	599	3081	599
VV1_RS08635	415	301	411	299
VV1_RS08645	5514	2107	5484	2081
VV1_RS08650	3695	1033	3683	1032
VV1_RS08655	600	292	540	270
VV1_RS08660	792	378	800	386
VV1_RS08665	1838	412	1806	390
VV1_RS08670	7522	3588	7122	3461
VV1_RS08685	1148	1837	1109	1760
VV1_RS08690	687	244	677	242
VV1_RS08695	185	153	183	151
VV1_RS08705	181	43	199	47
VV1_RS08760	171	69	160	57
VV1_RS08770	293	133	271	96
VV1_RS08780	1841	1273	1824	1261
VV1_RS08785	531	172	529	172
VV1_RS08810	694	353	712	358
VV1_RS08815	266	107	262	107
VV1_RS08820	197	118	197	118
VV1_RS08825	2884	2584	2856	2565
VV1_RS08830	4249	2230	4383	2392
VV1_RS08850	877	188	877	189
VV1_RS08870	865	303	865	303
VV1_RS08875	245	165	314	189
VV1_RS08890	1235	238	1233	238
VV1_RS08895	732	331	728	330
VV1_RS08900	451	172	417	160
VV1_RS08905	1766	1187	1787	1195
VV1_RS08910	2912	1114	2860	1101
VV1_RS08920	817	927	816	927
VV1_RS08925	4221	2271	4200	2262
VV1_RS08930	1557	850	1555	852
VV1_RS08935	3651	1779	3636	1785
VV1_RS08940	3034	549	3356	696
VV1_RS08970	1443	405	1369	387
VV1_RS08980	805	216	804	210
VV1_RS08990	923	276	912	276
VV1_RS08995	1206	755	1182	752
VV1_RS09015	4452	1532	4461	1548
VV1_RS09025	2564	848	2425	803
VV1_RS09045	1705	735	1699	735
VV1_RS09055	258	154	242	136
