	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
lacI	282	383	299	412
mhpR	264	337	274	347
mhpB	9	25	9	26
mhpC	32	49	34	50
mhpD	28	46	29	51
mhpF	45	51	49	53
mhpE	41	62	41	62
mhpT	46	85	48	91
frmA	505	763	548	831
yaiO	27	30	28	31
yaiP	33	31	34	33
tauA	21	39	25	45
tauB	19	37	20	37
tauD	31	40	37	48
hemB	1565	2054	1667	2225
yaiV	12	22	12	22
ampH	338	450	347	465
sbmA	311	396	340	434
yaiW	434	621	453	647
ddlA	974	1473	1017	1537
phoA	277	332	279	335
yaiC	35	41	35	43
proC	258	321	258	322
aroM	219	337	219	340
rdgC	1460	1808	1598	1972
mak	337	491	351	519
araJ	101	165	114	187
sbcD	201	311	211	329
phoB	191	251	194	254
phoR	172	208	177	215
brnQ	472	784	479	788
proY	390	564	402	570
malZ	366	530	394	561
queA	423	563	445	599
tgt	4179	5237	4179	5237
secD	7020	10354	7401	10960
secF	3264	4880	3362	5028
tsx	3729	5372	3753	5406
ribD	749	1110	785	1175
thiL	411	585	430	629
yajO	658	949	782	1100
dxs	1623	2310	1757	2499
ispA	732	959	789	1030
thiI	1055	1578	1128	1691
panE	481	729	549	828
yajR	298	457	330	492
cyoE	6642	10506	6888	10920
cyoC	5135	7496	5256	7663
cyoB	24025	35165	24764	36234
cyoA	15667	23525	16037	24158
ampG	417	517	436	533
tig	28633	44739	28748	44907
clpP	3430	4690	3436	4697
clpX	6302	10075	6742	10769
lon	8863	14122	9078	14444
ppiD	6786	9613	7020	9927
queC	988	1416	1058	1534
ybaE	88	139	94	142
cof	168	229	180	248
mdlA	263	337	268	347
mdlB	170	251	179	256
amtB	261	364	282	422
tesB	264	486	269	493
ylaB	264	320	268	325
acrB	7570	11312	7739	11652
acrA	5857	7718	5865	7728
