	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
yejK	1134	1066	1061	1010
yejM	870	674	851	659
narP	323	328	315	335
ccmH	307	322	253	267
ccmF	374	363	304	316
ccmC	139	129	139	127
ccmB	64	82	64	80
ccmA	146	141	136	136
napC	220	215	220	215
napH	128	115	118	104
napG	126	117	126	117
napA	684	736	638	687
mqo	128	116	121	107
yojI	703	603	647	542
alkB	28	24	28	21
ada	132	105	123	100
yojL	80	71	61	58
rcsB	2425	2217	2412	2207
rcsC	952	814	1017	882
yfaP	17	15	16	13
yfaQ	59	48	58	46
yfaT	4	2	5	2
gyrA	8148	7428	7981	7263
ubiG	485	416	436	362
nrdA	1833	1639	1621	1432
nrdB	1635	1512	1461	1343
inaA	283	236	283	236
glpQ	3210	2701	2975	2466
glpT	1575	1240	1513	1187
glpA	21	22	21	22
glpB	18	12	17	12
glpC	46	31	43	29
yfaY	297	246	290	243
ais	143	146	123	126
yfbE	1415	1130	1274	1032
yfbF	259	247	259	243
yfbG	717	623	703	608
yfbH	326	303	319	299
arnT	406	335	401	332
menE	278	235	248	215
menC	368	370	288	289
menB	666	651	620	596
yfbB	168	146	163	137
menD	311	286	298	279
menF	353	326	344	320
elaC	171	135	169	133
nuoN	2747	2429	2463	2177
nuoM	2474	2212	2465	2203
nuoL	4454	3970	4370	3889
nuoH	2765	2530	2763	2529
nuoG	9240	8690	8924	8387
nuoF	4013	3693	3543	3274
nuoC	5491	5075	5136	4757
nuoB	3580	3292	3539	3243
lrhA	3181	2811	3165	2805
yfbQ	1434	1392	1432	1390
yfbS	442	395	435	389
yfbT	1081	885	1055	858
ackA	3601	3501	3795	3672
pta	5469	5214	5468	5213
yfcF	108	88	108	88
yfcG	24	19	23	18
yfcH	702	662	612	586
hisP	1140	1099	1136	1095
hisM	954	866	935	854
hisQ	2443	2162	2412	2130
hisJ	11776	10555	11742	10525
purF	2409	2228	2386	2213
dedD	634	512	631	511
folC	943	868	919	845
accD	5512	4702	5500	4695
truA	557	517	525	489
usg	997	968	895	855
pdxB	1029	998	949	923
flk	279	205	268	202
yfcJ	57	59	54	57
fabB	9821	9027	9614	8855
trmC	382	306	382	306
yfcA	328	345	307	308
mepA	425	376	420	372
aroC	1327	1119	1105	924
prmB	1277	1135	1080	961
yfcY	853	796	785	740
fadL	1081	1006	1025	952
vacJ	1645	1404	1679	1406
yfdC	68	40	63	38
dsdA	98	98	97	95
emrY	13	8	13	7
emrK	11	10	10	9
evgA	143	139	140	133
yfdE	41	26	41	26
yfdV	14	24	14	24
oxc	51	64	51	64
frc	43	62	43	62
yfdX	29	37	28	37
ddg	43	32	65	42
yfdZ	866	788	726	671
ypdA	137	89	134	88
ypdB	196	164	196	164
ypdC	69	41	61	36
ypdD	103	90	96	84
ypdE	28	30	26	27
ypdF	53	38	50	34
ypdG	47	38	41	33
glk	984	828	934	781
yfeO	116	103	114	102
mntH	416	382	386	353
nupC	2472	2140	2294	1992
yfeA	563	448	563	448
gltX	2310	2143	2282	2095
yfeR	116	100	117	100
yfeH	515	410	423	318
