	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
proA	2753	1682	2284	3574
yagR	55	29	22	38
yagS	12	10	3	8
yagT	11	10	7	8
yagU	456	257	633	938
yagV	43	19	47	44
yagW	114	87	79	112
yagX	90	48	74	101
yagY	17	13	14	16
insF	367	254	1303	1798
ykgC	238	123	93	150
ykgD	116	54	64	88
ykgE	331	130	62	59
ykgF	619	195	125	202
ykgG	288	135	115	169
betA	286	150	327	509
betT	524	288	430	668
yahB	240	97	168	221
yahD	103	53	71	83
yahG	22	13	31	38
yahI	21	13	12	27
yahJ	232	141	194	306
yahK	1635	790	677	939
yahN	44	28	10	15
prpR	326	142	39	38
prpB	362	43	2	2
prpC	239	46	8	14
prpD	335	55	15	14
prpE	512	87	32	38
codB	2814	1684	3317	5340
codA	4757	2540	5522	8641
cynT	37	17	15	33
cynX	23	19	21	26
lacY	58	28	32	49
lacI	853	309	299	412
mhpR	2400	700	274	347
mhpB	27	16	9	26
mhpC	52	40	34	50
mhpD	45	34	29	51
mhpF	67	35	49	53
mhpE	101	46	41	62
mhpT	98	50	48	91
frmA	795	509	548	831
yaiO	43	23	28	31
yaiP	42	24	34	33
tauA	63	33	25	45
tauB	48	25	20	37
tauD	48	25	37	48
hemB	1288	813	1667	2225
yaiV	33	15	12	22
ampH	563	303	347	465
sbmA	395	251	340	434
yaiW	581	311	453	647
ddlA	1309	726	1017	1537
phoA	491	262	279	335
yaiC	34	22	35	43
proC	427	204	258	322
aroM	416	205	219	340
rdgC	1157	675	1598	1972
mak	686	350	351	519
araJ	128	74	114	187
sbcD	282	152	211	329
phoB	248	196	194	254
phoR	193	125	177	215
brnQ	362	211	479	788
proY	359	216	402	570
malZ	469	268	394	561
queA	321	211	445	599
tgt	6108	2823	4179	5237
secD	8798	4701	7401	10960
secF	4077	2274	3362	5028
tsx	5189	2497	3753	5406
ribD	902	564	785	1175
thiL	488	272	430	629
yajO	1534	727	782	1100
dxs	2509	1283	1757	2499
ispA	1135	567	789	1030
thiI	743	486	1128	1691
panE	417	229	549	828
yajR	343	201	330	492
cyoE	7276	3699	6888	10920
cyoC	5553	2795	5256	7663
cyoB	24140	12237	24764	36234
cyoA	16418	8810	16037	24158
ampG	374	221	436	533
tig	29041	15408	28748	44907
clpP	3194	1836	3436	4697
clpX	7267	4226	6742	10769
lon	8482	5395	9078	14444
ppiD	8763	4603	7020	9927
queC	1110	580	1058	1534
ybaE	339	144	94	142
cof	160	111	180	248
mdlA	290	158	268	347
mdlB	238	153	179	256
amtB	172	99	282	422
tesB	408	183	269	493
ylaB	358	185	268	325
acrB	8469	4868	7739	11652
acrA	5699	3282	5865	7728
acrR	679	414	578	706
kefA	1689	920	1775	2629
dnaX	1725	861	1618	2125
recR	1125	663	1179	1771
htpG	6929	4721	6943	11246
adk	6031	3221	7421	9786
hemH	292	154	249	358
aes	193	55	55	84
gsk	728	472	1048	1342
ybaL	1218	682	877	1311
fsr	294	183	176	228
ushA	2109	1115	1642	2344
ybaP	187	100	217	302
copA	898	475	778	1136
ybaS	68	43	73	97
ybaT	58	64	55	99
ybbK	533	316	354	540
ybbL	345	198	374	490
ybbM	272	167	272	373
ybbN	1687	1012	1815	2776
ybbO	269	153	298	394
tesA	486	259	324	397
ybbA	209	111	129	227
ybbP	405	238	289	484
ybbB	204	91	169	254
ybbS	8	5	12	18
allR	1586	904	1371	2024
gcl	64	35	52	66
hyi	24	10	10	27
glxR	25	20	20	29
ybbW	11	13	4	8
allB	151	86	51	65
ybbY	28	18	27	28
glxK	97	43	63	96
ylbA	353	225	289	377
allC	182	108	124	177
allD	24	16	14	16
ylbE	34	17	21	33
ylbF	13	12	13	22
ybcF	30	16	49	75
purK	1442	762	2096	3142
lpxH	512	332	718	1101
cysS	1726	1075	2250	3237
folD	718	493	844	1037
sfmC	13	0	5	10
sfmH	11	9	8	10
fimZ	11	16	8	13
envY	32	36	38	64
ybcH	56	35	44	69
nfrB	151	75	135	131
cusR	136	65	107	184
cusC	23	21	1334	1128
cusB	33	16	18	37
cusA	88	54	53	95
pheP	384	225	392	720
ybdG	566	367	692	1035
nfnB	901	516	1125	1555
ybdK	147	105	57	74
fepA	1511	667	2018	2915
fepC	140	87	205	252
fepG	105	44	96	149
fepD	77	48	60	91
