	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
pssA	2042	1401	2643	2081
kgtP	795	563	3270	2418
clpB	3454	2614	23547	19803
yfiH	328	257	55	63
rluD	671	483	305	282
yfiO	2593	1901	956	650
pheA	1982	1349	486	384
tyrA	4932	3013	305	216
aroF	5935	4057	249	186
yfiN	87	54	96	68
trmD	24226	17483	2183	1826
ffh	1920	1287	992	897
ypjD	361	225	89	55
yfjD	495	366	212	178
yfjB	226	168	232	178
recN	255	167	581	468
gabT	82	57	421	259
gabP	28	18	154	108
csiR	166	109	279	234
nrdF	164	68	33	22
proV	793	461	77	69
proW	295	161	27	27
proX	412	201	63	37
ygaZ	780	478	218	156
emrA	405	304	19	8
emrB	321	261	45	37
gshA	2460	1838	908	678
alaS	14322	9894	1874	1398
recA	3395	2377	1693	1439
mltB	184	103	6	11
srlE	15	4	109	88
srlD	82	57	186	116
srlR	201	116	606	519
gutQ	205	153	377	277
norV	13	3	33	26
norW	22	11	14	7
ascG	338	238	98	85
ascF	16	13	89	73
hycG	37	17	19	8
hycE	17	4	5	2
hycD	6	7	2	1
hycC	7	12	7	8
hycB	5	1	0	0
hypB	54	36	73	52
hypD	65	60	55	57
hypE	79	65	46	52
fhlA	74	52	77	78
mutS	692	471	136	82
ygbI	233	166	545	398
ygbJ	16	14	152	136
ygbK	39	27	144	123
ygbL	21	12	92	50
ygbM	31	25	103	73
ygbN	30	20	63	61
nlpD	11162	8193	63600	55788
pcm	670	415	240	156
surE	720	461	242	151
truD	1282	847	263	210
ispD	624	423	44	35
cysC	2209	1373	43	33
cysN	8430	5542	216	158
cysD	4831	3141	84	50
iap	199	152	138	133
cysH	4612	3377	50	41
cysI	9685	6504	74	31
cysJ	6920	4520	36	17
ygcQ	37	24	15	12
ygcR	8	11	3	5
ygcS	9	6	7	4
ygcU	31	21	29	21
ygcW	13	9	15	13
yqcE	26	28	30	22
ygcF	498	411	456	350
eno	33637	26255	1838	1349
pyrG	6889	5208	919	689
mazG	609	520	301	259
relA	2610	1868	2045	1440
barA	532	443	179	142
gudD	112	77	366	263
gudX	48	45	303	217
gudP	11	16	483	428
truC	202	116	9	8
queF	693	493	239	192
ygdH	736	439	879	833
sdaC	412	283	57	46
sdaB	210	175	69	66
exo	148	112	98	83
fucO	96	69	1479	940
fucA	19	13	358	248
fucP	10	13	252	225
fucI	74	35	373	257
fucK	92	63	256	211
fucR	354	241	575	460
ygdE	540	422	235	182
gcvA	274	182	242	214
csdA	309	202	109	89
ygdL	356	219	92	68
mltA	1331	959	1064	833
amiC	856	709	85	64
argA	7972	5541	213	172
recD	700	490	106	71
ptr	961	719	302	234
recC	732	485	316	280
thyA	1011	665	301	227
lgt	599	350	105	77
ptsP	1445	962	459	324
mutH	150	108	189	169
ygdQ	111	68	76	77
tas	582	359	397	370
ygeD	283	185	106	69
aas	872	543	143	92
galR	257	175	189	165
lysA	1853	1221	30	24
lysR	92	49	72	58
ygeA	205	125	132	93
araE	349	284	244	235
kduD	60	50	113	83
kduI	45	37	81	50
yqeF	1173	817	2903	2083
yqeG	70	58	81	69
yqeH	14	15	23	11
yqeI	33	30	11	10
ygeH	5	6	19	12
ygeR	460	290	392	310
xdhA	61	36	213	155
xdhB	17	14	72	39
ygeV	148	118	4886	4008
ygeW	12	4	37	24
ygeX	17	16	12	12
ygeY	9	9	32	14
hyuA	14	10	25	17
yqeA	32	31	122	111
yqeB	36	23	879	623
yqeC	5	3	610	373
ssnA	13	4	72	61
ygfM	13	8	46	27
xdhD	61	55	299	200
ygfO	27	20	36	35
guaD	127	121	75	51
ygfT	56	36	123	95
ygfU	3	8	53	32
lysS	5423	3784	582	474
prfB	4244	2911	537	478
recJ	1209	879	160	132
dsbC	783	571	178	152
xerD	653	450	236	194
ygfZ	909	570	617	499
yqfA	116	90	852	616
bglA	1198	827	399	314
ygfF	33	29	12	6
gcvP	2529	1899	228	173
gcvT	2242	1700	160	127
visC	525	365	196	159
serA	22724	15304	1456	1200
rpiA	1453	1058	594	440
argP	565	401	507	371
yliK	48	33	32	19
argK	10	13	12	5
ygfG	11	5	5	3
ygfH	30	28	24	19
ygfI	47	44	78	86
yggE	430	334	388	253
argO	124	78	64	52
mscS	2076	1593	224	172
fbaA	13947	10631	2404	1957
pgk	11509	8717	2284	1941
epd	2469	1738	691	564
yggF	13	7	13	14
cmtA	16	10	14	5
