	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
yahI	11	1	8	0
yahJ	38	18	31	16
yahK	340	198	337	194
yahN	338	371	330	354
prpR	110	70	98	67
prpB	130	130	113	117
prpC	108	128	95	114
prpD	150	113	140	105
prpE	213	215	199	205
codB	33	17	30	17
codA	87	69	86	67
cynT	7	14	7	14
cynX	9	9	7	8
lacY	63	74	60	72
lacI	642	426	626	417
mhpR	2249	1796	1961	1567
mhpB	7	4	7	4
mhpC	5	12	5	12
mhpD	5	5	5	5
mhpF	12	12	12	11
mhpE	16	16	16	16
mhpT	28	32	25	29
frmA	37	32	34	29
yaiO	200	124	184	116
yaiP	14	9	15	9
tauA	10	5	9	5
tauB	7	6	7	6
tauD	14	8	14	7
hemB	275	237	260	229
yaiV	35	48	34	47
ampH	57	45	55	44
sbmA	62	62	58	56
yaiW	140	104	133	97
ddlA	935	657	888	623
phoA	118	92	118	91
yaiC	22	21	21	21
proC	91	82	91	82
aroM	41	28	40	28
rdgC	134	90	117	77
mak	382	289	359	274
araJ	81	61	62	47
sbcD	80	39	76	37
phoB	83	64	83	64
phoR	72	65	69	64
brnQ	1098	922	1081	904
proY	226	200	218	195
malZ	98	73	91	72
queA	15	11	15	11
tgt	393	304	393	304
secD	803	590	763	562
secF	986	735	962	712
tsx	2529	2090	2507	2078
ribD	404	343	383	330
thiL	53	48	48	47
yajO	771	591	681	524
dxs	184	125	172	115
ispA	118	71	113	68
thiI	88	66	83	62
panE	160	126	147	115
yajR	111	88	104	84
cyoE	4497	3191	4329	3068
cyoC	2000	1489	1945	1455
cyoB	7169	5204	7058	5128
cyoA	5595	4113	5422	3982
ampG	20	14	19	14
tig	619	470	619	469
clpP	915	686	915	685
clpX	5600	4565	5343	4358
lon	3583	2628	3611	2659
ppiD	2736	2008	2670	1965
queC	166	133	155	123
ybaE	459	394	453	380
cof	463	411	540	465
mdlA	81	54	80	54
mdlB	38	30	38	29
amtB	77	56	68	47
tesB	125	93	122	90
ylaB	130	106	129	105
acrB	1861	1318	1825	1298
acrA	710	513	710	513
acrR	191	154	190	154
kefA	376	271	357	259
dnaX	134	96	132	89
recR	53	35	49	32
htpG	8461	6993	8350	6896
adk	328	266	327	266
hemH	84	69	82	67
aes	265	221	260	215
gsk	53	40	53	40
ybaL	235	216	214	205
fsr	60	67	59	63
ushA	472	365	517	398
ybaP	77	46	72	44
copA	563	416	497	365
ybaS	19	17	18	14
ybaT	28	18	28	18
ybbK	863	655	835	634
ybbL	141	116	134	111
ybbM	107	77	106	76
ybbN	584	470	577	457
ybbO	75	61	72	56
tesA	208	185	208	185
ybbA	148	127	143	123
ybbP	219	163	204	151
ybbB	28	19	26	16
ybbS	14	19	14	18
allR	1329	1199	1322	1185
gcl	15	22	14	18
hyi	13	12	13	12
glxR	10	4	10	4
ybbW	68	45	67	42
allB	458	279	412	242
ybbY	16	17	15	16
glxK	109	77	107	73
ylbA	172	156	165	150
allC	99	66	95	61
allD	25	22	25	22
ylbE	20	23	20	23
ylbF	15	12	13	12
ybcF	8	6	7	5
