	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS08605	8184	22558	8279	22897
VV1_RS08610	2770	9114	2725	8924
VV1_RS08615	1081	3302	1088	3313
VV1_RS08620	3277	5216	3277	5219
VV1_RS08630	4963	11492	4967	11481
VV1_RS08635	849	361	848	356
VV1_RS08645	1530	1233	1522	1221
VV1_RS08650	1146	848	1139	840
VV1_RS08655	5134	2199	5206	2304
VV1_RS08660	1984	906	1934	848
VV1_RS08665	154	223	154	222
VV1_RS08670	370	735	363	724
VV1_RS08685	40858	28187	40280	27469
VV1_RS08690	4408	2291	4335	2271
VV1_RS08695	956	246	944	241
VV1_RS08705	39	131	24	96
VV1_RS08760	361	10651	460	11724
VV1_RS08770	169	428	164	418
VV1_RS08780	13505	4814	13464	4780
VV1_RS08785	1834	2112	1832	2108
VV1_RS08810	1436	3218	1397	3179
VV1_RS08815	121	453	120	447
VV1_RS08820	498	282	497	279
VV1_RS08825	16501	10079	16469	10025
VV1_RS08830	7590	8450	6844	7892
VV1_RS08850	1459	1547	1461	1547
VV1_RS08870	3585	6365	3574	6352
