	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
dcm	818	520	729	593
yedJ	213	128	192	151
hchA	158	124	232	195
yedW	435	357	371	287
yedZ	65	43	77	63
yodA	17212	16450	4414	4222
yeeI	583	414	4103	3400
shiA	897	519	422	363
amn	411	240	414	402
yeeN	1937	1594	1432	1248
yeeO	96	94	152	99
cbl	1621	1199	1054	991
nac	31	16	53	54
erfK	353	243	501	385
cobS	231	165	280	241
yeeA	90	48	148	145
dacD	54	50	71	62
yeeE	944	659	2655	2125
yeeF	4880	3739	1691	1694
yeeY	137	89	175	130
yeeZ	745	458	692	622
hisG	2065	1238	1919	1789
hisD	1898	1023	1651	1630
hisC	1694	957	1585	1448
hisB	2688	1460	2607	2498
hisA	2081	1266	2129	2085
hisF	2135	1326	2123	2086
ugd	437	313	752	654
gnd	8306	6421	4246	4073
galF	3653	2728	4608	4046
wcaL	24	17	32	35
wcaK	15	8	16	11
wzxC	7	4	11	9
wcaJ	9	1	6	16
cpsG	2178	1433	1249	1209
cpsB	1332	926	743	742
fcl	17	9	22	26
gmd	17	9	33	20
wcaE	3	3	8	2
wcaD	6	3	17	13
wcaC	15	10	18	17
wcaA	6	2	11	7
wzc	22	16	31	27
wza	8	4	6	3
yegH	500	399	427	370
asmA	1142	758	1601	1229
udk	424	321	365	313
yegL	10	4	18	12
mdtA	36	34	35	32
mdtB	111	82	105	79
mdtC	82	78	100	84
baeS	69	55	60	62
baeR	146	95	132	111
yegQ	621	445	241	243
yegS	23	24	51	41
gatD	19	13	34	28
gatZ	3	10	42	50
gatY	5	5	34	28
fbaB	405	306	1360	1181
yegT	59	35	130	101
yegU	63	53	116	91
yegV	62	33	89	82
yegW	128	82	194	146
yegX	142	85	109	86
thiD	1423	844	1606	1374
thiM	1568	986	1869	1531
rncA	46	39	63	61
yehA	12	8	28	28
yehC	0	1	0	0
mrp	2349	1812	2013	1975
metG	3024	1825	2138	2146
yehL	23	15	24	10
yehP	24	28	37	37
yehT	262	201	793	636
yehU	490	347	1551	1260
mlrA	38	19	54	51
yehW	17	15	27	14
yehX	26	19	34	26
yehY	18	5	28	18
yehZ	26	17	44	27
bglX	1898	1294	2015	1940
dld	1770	1129	5144	4611
pbpG	453	315	443	427
yohF	33	15	35	27
dusC	392	239	291	217
yohK	35	18	32	24
cdd	69	49	444	393
sanA	160	87	131	87
yeiT	38	37	674	650
yeiA	70	67	790	649
mglC	337	263	3127	2770
